Pattern,Phrase,Base_phrase,Relations,Frequency
<QNT>_to_<Value>,coercivity_to_0_kOe,"(coercivity, 0_kOe)","(0, 1)",1
<QNT>_up_to_<Value>,coercivity_up_to_0_T,"(coercivity, 0_T)","(0, 1)",2
<QNT>_be_<Value>,coercivity_value_be_low_than_0_kOe,"(coercivity_value, low_than_0_kOe)","(0, 1)",1
<QNT>_of_<Value>,coercivity_value_of_0_kOe,"(coercivity_value, 0_kOe)","(0, 1)",1
<QNT>_of_<Value>,coercivity_value_of_0_T,"(coercivity_value, 0_T)","(0, 1)",2
<QNT>_of_<Class>,coercivity_value_of_Pr_Fe_B,"(coercivity_value, Pr_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_value_of_Pr_Fe_B_/_α_Fe_film,"(coercivity_value, Pr_Fe_B_/_α_Fe_film)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_value_of_sample,"(coercivity_value, sample)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_value_of_thick_film,"(coercivity_value, thick_film)","(1, 0)",1
<QNT>_to_<Value>,coercivity_value_to_0_T,"(coercivity_value, 0_T)","(0, 1)",1
<QNT>_up_to_<Value>,coercivity_value_up_to_0_kA_/_m,"(coercivity_value, 0_kA_/_m)","(0, 1)",2
<Element>_(_<Element>_),Cu_(_0_at_._%_),"(Cu, 0_at_._%)","(0, 1)",1
<Element>_(_<Element>_),Cu_content_(_0_at_._%_),"(Cu_content, 0_at_._%)","(0, 1)",1
<QNT>_(_<Value>_),curie_temperature_(_0_°C_),"(curie_temperature, 0_°C)","(0, 1)",1
<QNT>_for_<Class>,curie_temperature_for_Nd_Fe_B,"(curie_temperature, Nd_Fe_B)","(1, 0)",1
<QNT>_for_<Shape>,curie_temperature_for_Nd_Fe_B_sample_0,"(curie_temperature, Nd_Fe_B_sample_0)","(1, 0)",1
<QNT>_in_<Class>,curie_temperature_in_Nd_Ce_Fe_B_alloy,"(curie_temperature, Nd_Ce_Fe_B_alloy)","(1, 0)",1
<QNT>_of_<Value>,curie_temperature_of_0_°C,"(curie_temperature, 0_°C)","(0, 1)",2
<QNT>_of_<Value>,curie_temperature_of_0_K,"(curie_temperature, 0_K)","(0, 1)",3
<QNT>_of_<Class>,curie_temperature_of_Fe,"(curie_temperature, Fe)","(1, 0)",1
<QNT>_of_<Shape>,curie_temperature_of_GB_phase,"(curie_temperature, GB_phase)","(1, 0)",1
<QNT>_of_<Class>,curie_temperature_of_magnet,"(curie_temperature, magnet)","(1, 0)",2
<QNT>_of_<Shape>,curie_temperature_of_magnetic_phase,"(curie_temperature, magnetic_phase)","(1, 0)",1
<QNT>_of_<Class>,curie_temperature_of_Nd_Fe_B_magnet,"(curie_temperature, Nd_Fe_B_magnet)","(1, 0)",1
<QNT>_of_<Shape>,curie_temperature_of_phase,"(curie_temperature, phase)","(1, 0)",1
<QNT>_of_<Value>,curie_temperature_of_T,"(curie_temperature, T)","(0, 1)",2
<QNT>_of_<QNT>_=_<Value>,curie_temperature_of_T_=_0_K,"(curie_temperature, T, 0_K)","(0, 1), (1, 2)",2
<QNT>_of_<Class>,curie_temperature_T_of_(_Nd_Ce_)_Fe_Co_B,"(curie_temperature_T, (_Nd_Ce_)_Fe_Co_B)","(1, 0)",1
<QNT>_of_<Shape>,curie_temperature_T_of_(_Nd_Ce_)_Fe_Co_B_melt_spun_ribbon,"(curie_temperature_T, (_Nd_Ce_)_Fe_Co_B_melt_spun_ribbon)","(1, 0)",1
<QNT>_to_<Value>,curie_temperature_T_to_0_°C,"(curie_temperature_T, 0_°C)","(0, 1)",1
<QNT>_of_<Class>,D_of_Nd_Fe_B,"(D, Nd_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,decrease_in_remanence_of_magnet,"(decrease_in_remanence, magnet)","(1, 0)",1
<Fabrication>_at_<Fabrication>,deposited_at_0_°C,"(deposited, 0_°C)","(0, 1)",1
<Fabrication>_at_<Fabrication>,deposited_at_substrate_temperature,"(deposited, substrate_temperature)","(0, 1)",1
<Treatment>_at_<Treatment>,deposition_annealing_at_0_°C,"(deposition_annealing, 0_°C)","(0, 1)",1
<QNT>_for_<Element>,diffusion_coefficient_for_Dy,"(diffusion_coefficient, Dy)","(1, 0)",1
<QNT>_of_<QNT>,diffusion_coefficient_of_D,"(diffusion_coefficient, D)","(0, 1)",2
<Treatment>_at_<Treatment>,diffusion_process_at_0_°C,"(diffusion_process, 0_°C)","(0, 1)",2
<Treatment>_to_<Treatment>,diffusion_time_to_0_h,"(diffusion_time, 0_h)","(0, 1)",1
<Treatment>_at_<Treatment>,diffusion_treatment_at_0_°C,"(diffusion_treatment, 0_°C)","(0, 1)",1
<Element>_of_<Element>,distribution_of_0_wt_._%_Dy,"(distribution, 0_wt_._%_Dy)","(0, 1)",1
<Element>_of_<Element>,distribution_of_Ce,"(distribution, Ce)","(0, 1)",4
<Element>_of_<Element>,distribution_of_Co,"(distribution, Co)","(0, 1)",1
<Element>_of_<Element>,distribution_of_Dy,"(distribution, Dy)","(0, 1)",5
<Element>_of_<Element>,distribution_of_Dy_element,"(distribution, Dy_element)","(0, 1)",3
<Element>_of_<Element>,distribution_of_Nd_content,"(distribution, Nd_content)","(0, 1)",1
<Element>_of_<Element>,distribution_of_Nd_rich,"(distribution, Nd_rich)","(0, 1)",6
<Element>_of_<Element>,distribution_of_RE,"(distribution, RE)","(0, 1)",1
<Element>_of_<Element>,distribution_of_RE_rich,"(distribution, RE_rich)","(0, 1)",1
<Element>_of_<Element>,distribution_of_Tb,"(distribution, Tb)","(0, 1)",1
<Element>_of_<Element>,distribution_of_Zr,"(distribution, Zr)","(0, 1)",1
<Element>_of_<Element>,distribution_of_α_Fe,"(distribution, α_Fe)","(0, 1)",2
<Class>_be_<Value>,DQ_alloy_be_0_kA_/_m,"(DQ_alloy, 0_kA_/_m)","(0, 1)",1
<Element>_with_<QNT>_of_<Value>,Dy_addition_with_remanence_of_0_T,"(Dy_addition, remanence, 0_T)","(0, 1), (1, 2)",1
<Element>_of_<Element>,Dy_content_of_~_0_at_._%,"(Dy_content, ~_0_at_._%)","(0, 1)",1
<Element>_of_<Element>,Dy_content_of_x_=_0,"(Dy_content, x_=_0)","(0, 1)",1
<Treatment>_and_<Treatment>,Dy_Cu_and_Pr_Cu_alloy,"(Dy_Cu, Pr_Cu_alloy)","(0, 1)",1
<Treatment>_and_<Treatment>,Dy_Cu_and_Pr_Dy_Cu_ribbon,"(Dy_Cu, Pr_Dy_Cu_ribbon)","(0, 1)",3
<Class>_be_<Value>,Dy_Fe_B_be_0_T,"(Dy_Fe_B, 0_T)","(0, 1)",1
<Class>_with_<QNT>_of_<Value>,Dy_free_Nd_Pr_B_Cu_Al_Co_Fe_at_%_(_0_wt_%_RE_content_)_magnet_with_high_coercivity_of_0_kOe,"(Dy_free_Nd_Pr_B_Cu_Al_Co_Fe_at_%_(_0_wt_%_RE_content_)_magnet, high_coercivity, 0_kOe)","(0, 1), (1, 2)",1
<Shape>_(_<Shape>_),Dy_interlayer_(_0_nm_<_t_<_0_nm_),"(Dy_interlayer, 0_nm_<_t_<_0_nm)","(0, 1)",1
<Class>_be_<Value>,Dy_substituted_alloy_be_0_kA_/_m,"(Dy_substituted_alloy, 0_kA_/_m)","(0, 1)",1
<Element>_(_<Element>_),Dy_substitution_(_0_wt_._%_),"(Dy_substitution, 0_wt_._%)","(0, 1)",1
<QNT>_of_<Value>,energy_density_of_about_0_kJ_/_m_3,"(energy_density, about_0_kJ_/_m_3)","(0, 1)",1
<QNT>_(_<QNT>_=_<Value>_),energy_product_(_(_BH_)_=_0_kJ_/_m_3_),"(energy_product, (_BH_), 0_kJ_/_m_3)","(0, 1), (1, 2)",1
<QNT>_=_<Value>,energy_product_(_BH_)_=_0_MGOe,"(energy_product_(_BH_), 0_MGOe)","(0, 1)",1
<QNT>_of_<Value>,energy_product_(_BH_)_of_0_kJ_m_-_3,"(energy_product_(_BH_), 0_kJ_m_-_3)","(0, 1)",1
<QNT>_be_<Value>,energy_product_be_0_T,"(energy_product, 0_T)","(0, 1)",1
<QNT>_in_<Class>,energy_product_in_anisotropic_nanocomposite,"(energy_product, anisotropic_nanocomposite)","(1, 0)",1
<QNT>_of_<Value>,energy_product_of_0_0_MGOe,"(energy_product, 0_0_MGOe)","(0, 1)",1
<QNT>_of_<Value>,energy_product_of_0_m_/_s,"(energy_product, 0_m_/_s)","(0, 1)",1
<QNT>_of_<Class>,energy_product_of_magnet,"(energy_product, magnet)","(1, 0)",1
<QNT>_of_<Class>,energy_product_of_nanocomposite,"(energy_product, nanocomposite)","(1, 0)",2
<QNT>_of_<Class>_be_recorded_as_high_as_<Value>,energy_product_of_nanocomposite_be_recorded_as_high_as_0_MJ_/_m_3,"(energy_product, nanocomposite, 0_MJ_/_m_3)","(1, 0), (1, 2)",1
<QNT>_of_<Class>,enhance_coercivity_of_Ce_Fe_B_magnet,"(enhance_coercivity, Ce_Fe_B_magnet)","(1, 0)",1
<QNT>_of_<Class>,enhance_coercivity_of_hot_deformed_magnet,"(enhance_coercivity, hot_deformed_magnet)","(1, 0)",3
<QNT>_of_<Class>,enhance_coercivity_of_magnet,"(enhance_coercivity, magnet)","(1, 0)",1
<QNT>_of_<Element>,enhance_coercivity_of_Nd,"(enhance_coercivity, Nd)","(1, 0)",3
<QNT>_of_<Class>,enhance_coercivity_of_Nd_Fe_B,"(enhance_coercivity, Nd_Fe_B)","(1, 0)",3
<QNT>_of_<Shape>,enhance_coercivity_of_Nd_Fe_B_layer,"(enhance_coercivity, Nd_Fe_B_layer)","(1, 0)",2
<QNT>_of_<Class>,enhance_coercivity_of_sintered_magnet,"(enhance_coercivity, sintered_magnet)","(1, 0)",1
<QNT>_of_<Class>,enhance_coercivity_of_SrFe_O,"(enhance_coercivity, SrFe_O)","(1, 0)",1
<QNT>_up_to_<Value>,enhance_coercivity_up_to_0_kA_/_m,"(enhance_coercivity, 0_kA_/_m)","(0, 1)",1
<Element>_of_<Element>,extra_amount_of_Nd_+_Ce,"(extra_amount, Nd_+_Ce)","(0, 1)",1
<Element>_(_<Element>_),Fe_(_0_wt_._%_),"(Fe, 0_wt_._%)","(0, 1)",2
<Shape>_be_<Value>,Fe_/_Pr_Fe_B_film_be_0_μ,"(Fe_/_Pr_Fe_B_film, 0_μ)","(0, 1)",1
<Element>_be_<Value>,Fe_3_+_ion_be_0_μ,"(Fe_3_+_ion, 0_μ)","(0, 1)",1
<Shape>_with_<QNT>_of_<Value>,Fe_B_/_Nd_Fe_B_film_with_remanence_value_of_0_T,"(Fe_B_/_Nd_Fe_B_film, remanence_value, 0_T)","(0, 1), (1, 2)",1
<Element>_of_<Element>,Fe_concentration_of_0_%,"(Fe_concentration, 0_%)","(0, 1)",1
<QNT>_in_<Shape>,Fe_magnetic_moment_in_GB_phase,"(Fe_magnetic_moment, GB_phase)","(1, 0)",2
<Class>_with_<QNT>_of_<Value>,FePr_(_BSi_)_alloy_with_coercivity_of_0_kOe,"(FePr_(_BSi_)_alloy, coercivity, 0_kOe)","(0, 1), (1, 2)",1
<Shape>_be_<Value>,film_be_~_0_T,"(film, ~_0_T)","(0, 1)",1
<Shape>_with_<QNT>_of_<Value>,film_with_coercivity_of_0_T,"(film, coercivity, 0_T)","(0, 1), (1, 2)",1
<Shape>_with_<QNT>_of_<Value>,film_with_remanence_value_of_0_T,"(film, remanence_value, 0_T)","(0, 1), (1, 2)",1
<Treatment>_at_<Treatment>,GBDP_at_various_temperature,"(GBDP, various_temperature)","(0, 1)",1
<QNT>_up_to_<Value>,giant_coercivity_up_to_0_kOe,"(giant_coercivity, 0_kOe)","(0, 1)",1
<Shape>_(_<Shape>_),grain_size_(_0_0_nm_),"(grain_size, 0_0_nm)","(0, 1)",1
<Shape>_(_<Shape>_),grain_size_(_0_μ_m_),"(grain_size, 0_μ_m)","(0, 1)",1
<QNT>_(_<Value>_),H_(_0_kOe_),"(H, 0_kOe)","(0, 1)",4
<QNT>_~_<Value>,H_~_0_kA_/_m,"(H, 0_kA_/_m)","(0, 1)",2
<QNT>_~_<Value>,H_~_0_MA_/_m,"(H, 0_MA_/_m)","(0, 1)",1
<QNT>_~_<Value>,H_~_0_Oe,"(H, 0_Oe)","(0, 1)",1
<QNT>_for_<Class>,H_for_0_wt_._%_Nd_Fe_B,"(H, 0_wt_._%_Nd_Fe_B)","(1, 0)",1
<QNT>_for_<Class>,H_for_alloy,"(H, alloy)","(1, 0)",1
<QNT>_for_<Class>,H_for_Pr_Co_C,"(H, Pr_Co_C)","(1, 0)",2
<QNT>_for_<Class>,H_for_Pr_Fe_B,"(H, Pr_Fe_B)","(1, 0)",1
<QNT>_for_<Element>,H_for_Pr_Fe_B_/_α_Fe,"(H, Pr_Fe_B_/_α_Fe)","(1, 0)",1
<QNT>_for_<Shape>,H_for_sample,"(H, sample)","(1, 0)",1
<QNT>_in_<Class>,H_in_CeFe_Co_Ti,"(H, CeFe_Co_Ti)","(1, 0)",1
<QNT>_of_<Value>,H_of_0_kA_m_-_1,"(H, 0_kA_m_-_1)","(0, 1)",2
<QNT>_of_<Value>,H_of_about_0_kA_/_m,"(H, about_0_kA_/_m)","(0, 1)",2
<QNT>_of_<Class>,H_of_alloy,"(H, alloy)","(1, 0)",1
<QNT>_of_<Shape>,H_of_alloy_rod,"(H, alloy_rod)","(1, 0)",1
<QNT>_of_<Class>,H_of_Fe_Nd_B,"(H, Fe_Nd_B)","(1, 0)",1
<QNT>_of_<Class>_increases_from_<Value>_at_<Condition>_to_<Value>_at_<Condition>,H_of_ferrite_magnet_increases_from_0_kOe_at_0_°C_to_0_kOe_at_0_°C,"(H, ferrite_magnet, 0_kOe, 0_°C, 0_kOe, 0_°C)","(1, 0), (0, 2), (2, 3), (0, 4), (4, 5)",1
<QNT>_of_<Class>,H_of_magnet,"(H, magnet)","(1, 0)",1
<QNT>_of_<Class>,H_of_MRE_Fe_B,"(H, MRE_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,H_of_Nd_Fe_B,"(H, Nd_Fe_B)","(1, 0)",3
<QNT>_of_<Shape>,H_of_Nd_Fe_B_/_Dy_/_Nd_film,"(H, Nd_Fe_B_/_Dy_/_Nd_film)","(1, 0)",1
<QNT>_of_<Shape>,H_of_Nd_Fe_B_/_Dy_/_Nd_thin_film,"(H, Nd_Fe_B_/_Dy_/_Nd_thin_film)","(1, 0)",1
<QNT>_of_<Shape>,H_of_Nd_Fe_B_film,"(H, Nd_Fe_B_film)","(1, 0)",1
<QNT>_up_to_<Value>,H_up_to_~_0_kA_m_-_1,"(H, ~_0_kA_m_-_1)","(0, 1)",1
<QNT>_up_to_<Value>,H_up_to_0_kOe,"(H, 0_kOe)","(0, 1)",1
<QNT>_be_<Value>,H_value_be_approximately_0_kA_/_m,"(H_value, approximately_0_kA_/_m)","(0, 1)",1
<QNT>_of_<Value>,H_value_of_0_kA_/_m,"(H_value, 0_kA_/_m)","(0, 1)",2
<QNT>_of_<Value>,H_value_of_0_kA_m_-_1,"(H_value, 0_kA_m_-_1)","(0, 1)",1
<QNT>_(_<QNT>_),hci_(_β_),"(hci, β)","(0, 1)",1
<QNT>_~_<Value>,hci_~_0_kOe,"(hci, 0_kOe)","(0, 1)",2
<QNT>_and_<QNT>_be_<Value>_and_<Value>,hci_and_(_BH_)_max_be_0_kOe_and_0_MGOe,"(hci, (_BH_)_max, 0_kOe, 0_MGOe)","(0, 2), (1, 3)",1
<QNT>_and_<QNT>_for_<Class>_vary_from_<Value>_and_<Value>_at_<Condition>_to_<Value>_and_<Value>_at_<Condition>,hci_and_(_BH_)_max_for_(_Nd_Ce_)_Fe_B_vary_from_0_kOe_and_0_MGOe_at_0_K_to_0_kOe_and_0_MGOe_at_0_K,"(hci, (_BH_)_max, (_Nd_Ce_)_Fe_B, 0_kOe, 0_MGOe, 0_K, 0_kOe, 0_MGOe, 0_K)","(2, 0), (2, 1), (0, 3), (1, 4), (3, 5), (4, 5), (0, 6), (1, 7), (6, 8), (7, 8)",1
<QNT>_between_<Value>_and_<Value>,hci_between_0_and_0_kOe,"(hci, 0, 0_kOe)","(0, 1), (0, 2)",1
<QNT>_for_<Class>,hci_for_(_Nd_Ce_)_Fe_Co_B,"(hci, (_Nd_Ce_)_Fe_Co_B)","(1, 0)",1
<QNT>_for_<Shape>,hci_for_(_Nd_Ce_)_Fe_Co_B_melt_spun_ribbon,"(hci, (_Nd_Ce_)_Fe_Co_B_melt_spun_ribbon)","(1, 0)",1
<QNT>_for_<Shape>,hci_for_sample,"(hci, sample)","(1, 0)",1
<QNT>_for_<Element>,hci_for_x_=_0,"(hci, x_=_0)","(1, 0)",1
<QNT>_of_<Element>,hci_of_0_%_Ce_substitution,"(hci, 0_%_Ce_substitution)","(1, 0)",1
<Class>_with_<QNT>_of_<Value>,HD_magnet_with_coercivity_value_of_0_T,"(HD_magnet, coercivity_value, 0_T)","(0, 1), (1, 2)",1
<Fabrication>_of_<Fabrication>,HD_temperature_of_0_°C,"(HD_temperature, 0_°C)","(1, 0)",1
<Shape>_with_<QNT>_of_<Value>,HDDR_powder_with_coercivity_of_0_kA_/_m,"(HDDR_powder, coercivity, 0_kA_/_m)","(0, 1), (1, 2)",1
<Shape>_with_<QNT>_of_<Value>,HDDR_powder_with_coercivity_of_0_kOe,"(HDDR_powder, coercivity, 0_kOe)","(0, 1), (1, 2)",1
<Treatment>_at_<Treatment>,heat_treated_at_temperature,"(heat_treated, temperature)","(0, 1)",1
<Treatment>_at_<Treatment>,heat_treatment_at_0_°C,"(heat_treatment, 0_°C)","(0, 1)",1
<QNT>_of_<Value>,high_(_BH_)_of_0_±_0_kJ_m_-_3_be,"(high_(_BH_), 0_±_0_kJ_m_-_3_be)","(0, 1)",2
<QNT>_of_<Value>,high_(_BH_)_of_0_kJ_m_-_3,"(high_(_BH_), 0_kJ_m_-_3)","(0, 1)",1
<QNT>_of_<Value>,high_(_BH_)_of_0_MGOe,"(high_(_BH_), 0_MGOe)","(0, 1)",1
<QNT>_(_<Value>_),high_coercivity_(_~_0_kOe_),"(high_coercivity, ~_0_kOe)","(0, 1)",1
<QNT>_(_<Value>_),high_coercivity_(_0_kA_/_m_),"(high_coercivity, 0_kA_/_m)","(0, 1)",1
<QNT>_(_<Value>_),high_coercivity_(_0_Oe_),"(high_coercivity, 0_Oe)","(0, 1)",1
<QNT>_(_<Value>_),high_coercivity_(_0_T_),"(high_coercivity, 0_T)","(0, 1)",1
<QNT>_(_<QNT>_),high_coercivity_(_H_),"(high_coercivity, H)","(0, 1)",1
<QNT>_(_<QNT>_)_of_<Value>,high_coercivity_(_H_)_of_approximately_0_MA_/_m,"(high_coercivity, H, approximately_0_MA_/_m)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_=_<Value>_),high_coercivity_(_H_=_0_kA_/_m_),"(high_coercivity, H, 0_kA_/_m)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_=_<Value>_),high_coercivity_(_H_=_0_kOe_),"(high_coercivity, H, 0_kOe)","(0, 1), (1, 2)",1
<QNT>_at_<Condition>,high_coercivity_at_0_T,"(high_coercivity, 0_T)","(0, 1)",1
<QNT>_for_<Element>,high_coercivity_for_Nd_rich_composition,"(high_coercivity, Nd_rich_composition)","(1, 0)",1
<QNT>_in_<Class>,high_coercivity_in_magnet,"(high_coercivity, magnet)","(1, 0)",1
<QNT>_in_<Class>,high_coercivity_in_melt_spun_precipitation_hardened_magnet,"(high_coercivity, melt_spun_precipitation_hardened_magnet)","(1, 0)",1
<QNT>_in_<Element>,high_coercivity_in_Nd,"(high_coercivity, Nd)","(1, 0)",2
<QNT>_in_<Class>,high_coercivity_in_Nd_Fe_B_/_Fe_nanocomposite,"(high_coercivity, Nd_Fe_B_/_Fe_nanocomposite)","(1, 0)",2
<QNT>_in_<Shape>,high_coercivity_in_Nd_Fe_B_/_Fe_nanocomposite_film,"(high_coercivity, Nd_Fe_B_/_Fe_nanocomposite_film)","(1, 0)",2
<QNT>_in_<Class>,high_coercivity_in_permanent_magnet,"(high_coercivity, permanent_magnet)","(1, 0)",1
<QNT>_in_<Class>,high_coercivity_in_recycled_magnet,"(high_coercivity, recycled_magnet)","(1, 0)",1
<QNT>_in_<Shape>,high_coercivity_in_single_phase,"(high_coercivity, single_phase)","(1, 0)",1
<QNT>_of_<Value>,high_coercivity_of_0_kA_/_m,"(high_coercivity, 0_kA_/_m)","(0, 1)",1
<QNT>_of_<Value>,high_coercivity_of_0_kA_m_-_1,"(high_coercivity, 0_kA_m_-_1)","(0, 1)",1
<QNT>_of_<Value>,high_coercivity_of_0_kOe,"(high_coercivity, 0_kOe)","(0, 1)",8
<QNT>_of_<Value>,high_coercivity_of_0_T,"(high_coercivity, 0_T)","(0, 1)",9
<QNT>_of_<Value>,high_coercivity_of_about_0_T,"(high_coercivity, about_0_T)","(0, 1)",1
<QNT>_of_<Value>,high_coercivity_of_approximately_0_MA_/_m,"(high_coercivity, approximately_0_MA_/_m)","(0, 1)",1
<QNT>_of_<QNT>,high_coercivity_of_H,"(high_coercivity, H)","(0, 1)",6
<QNT>_of_<QNT>_=_<Value>,high_coercivity_of_H_=_0_kOe,"(high_coercivity, H, 0_kOe)","(0, 1), (1, 2)",5
<QNT>_of_<Shape>,high_coercivity_of_modified_powder,"(high_coercivity, modified_powder)","(1, 0)",1
<QNT>_of_<Class>,high_coercivity_of_Pr_Cu,"(high_coercivity, Pr_Cu)","(1, 0)",1
<QNT>_of_<Shape>,high_coercivity_of_Pr_Cu_diffusion_processed_sample,"(high_coercivity, Pr_Cu_diffusion_processed_sample)","(1, 0)",1
<QNT>_of_<Class>,high_coercivity_of_recycled_magnet,"(high_coercivity, recycled_magnet)","(1, 0)",1
<QNT>_of_<Class>,high_coercivity_of_x_=_0_alloy,"(high_coercivity, x_=_0_alloy)","(1, 0)",1
<QNT>_(_<Value>_),high_H_(_0_0_kA_m_-_1_),"(high_H, 0_0_kA_m_-_1)","(0, 1)",1
<QNT>_of_<Value>,high_H_of_0_kA_/_m,"(high_H, 0_kA_/_m)","(0, 1)",3
<QNT>_of_<Value>,high_H_of_0_kOe,"(high_H, 0_kOe)","(0, 1)",3
<QNT>_of_<Value>,high_maximum_energy_product_(_BH_)_of_0_kJ_/_m_3,"(high_maximum_energy_product_(_BH_), 0_kJ_/_m_3)","(0, 1)",1
<QNT>_(_<QNT>_=_<Value>_),high_remanence_(_B_=_0_0_T_),"(high_remanence, B, 0_0_T)","(0, 1), (1, 2)",1
<QNT>_in_<Element>,high_remanence_in_Zr_containing,"(high_remanence, Zr_containing)","(1, 0)",1
<QNT>_of_<Value>,high_remanence_of_~_0_T,"(high_remanence, ~_0_T)","(0, 1)",1
<QNT>_of_<Value>,high_remanence_of_0_emu_/_g,"(high_remanence, 0_emu_/_g)","(0, 1)",1
<QNT>_of_<Value>,high_remanence_of_0_kG,"(high_remanence, 0_kG)","(0, 1)",2
<QNT>_of_<QNT>,high_remanence_of_J,"(high_remanence, J)","(0, 1)",2
<QNT>_of_<QNT>_=_<Value>,high_remanence_of_J_=_0_T,"(high_remanence, J, 0_T)","(0, 1), (1, 2)",2
<QNT>_of_<Class>,high_room_temperature_coercivity_of_Pr_Cu_diffusion_processed_hot_deformed_Nd_Fe_B_magnet,"(high_room_temperature_coercivity, Pr_Cu_diffusion_processed_hot_deformed_Nd_Fe_B_magnet)","(1, 0)",1
<QNT>_(_<QNT>_=_<Value>_),high_saturation_magnetization_(_μ_M_=_0_T_),"(high_saturation_magnetization, μ_M, 0_T)","(0, 1), (1, 2)",2
<QNT>_in_<Class>,high_saturation_magnetization_in_nanocomposite,"(high_saturation_magnetization, nanocomposite)","(1, 0)",2
<QNT>_in_<Shape>,high_saturation_magnetization_in_nanocomposite_film,"(high_saturation_magnetization, nanocomposite_film)","(1, 0)",2
<QNT>_of_<Element>,high_saturation_magnetization_of_Nd,"(high_saturation_magnetization, Nd)","(1, 0)",1
<QNT>_of_<Class>,high_saturation_magnetization_of_Nd_Fe_B,"(high_saturation_magnetization, Nd_Fe_B)","(1, 0)",1
<QNT>_(_<Value>_),high_uniaxial_anisotropy_(_0_MJ_/_m_3_),"(high_uniaxial_anisotropy, 0_MJ_/_m_3)","(0, 1)",1
<QNT>_in_<Class>,high_value_in_Dy_free_Nd_Fe_B_sintered_magnet,"(high_value, Dy_free_Nd_Fe_B_sintered_magnet)","(1, 0)",1
<QNT>_of_<QNT>,high_value_of_(_B_H_),"(high_value, (_B_H_))","(0, 1)",2
<QNT>_of_<Value>,high_value_of_0_kA_m_-_1,"(high_value, 0_kA_m_-_1)","(0, 1)",1
<QNT>_of_<Value>,high_value_of_0_kJ_m_-_3,"(high_value, 0_kJ_m_-_3)","(0, 1)",1
<QNT>_of_<Value>,high_value_of_0_kOe,"(high_value, 0_kOe)","(0, 1)",2
<QNT>_of_<QNT>,high_value_of_coercivity,"(high_value, coercivity)","(0, 1)",3
<QNT>_of_<QNT>,high_value_of_M,"(high_value, M)","(0, 1)",1
<QNT>_of_<QNT>,high_value_of_maximum_energy_product_(_B_H_),"(high_value, maximum_energy_product_(_B_H_))","(0, 1)",2
<QNT>_of_<QNT>,high_value_of_remanence,"(high_value, remanence)","(0, 1)",2
<Fabrication>_at_<Fabrication>,hot_deformation_at_0_°C,"(hot_deformation, 0_°C)","(0, 1)",1
<Fabrication>_of_<Fabrication>,hot_deformation_of_melt_spun,"(hot_deformation, melt_spun)","(1, 0)",1
<Fabrication>_at_<Fabrication>,hot_deformed_at_0_°C,"(hot_deformed, 0_°C)","(0, 1)",2
<Class>_be_<Value>,hot_deformed_magnet_be_~_0_MGOe,"(hot_deformed_magnet, ~_0_MGOe)","(0, 1)",1
<Class>_be_<Value>,hot_deformed_magnet_be_0_T,"(hot_deformed_magnet, 0_T)","(0, 1)",1
<Class>_be_<Value>,hot_deformed_magnet_be_around_0_T,"(hot_deformed_magnet, around_0_T)","(0, 1)",1
<Fabrication>_at_<Fabrication>,hot_pressing_at_0_°C,"(hot_pressing, 0_°C)","(0, 1)",1
<QNT>_(_<QNT>_),increase_coercivity_(_μ_H_),"(increase_coercivity, μ_H)","(0, 1)",1
<QNT>_of_<Shape>,increase_coercivity_of_Nd_Fe_B_phase,"(increase_coercivity, Nd_Fe_B_phase)","(1, 0)",1
<QNT>_of_<Value>,increase_in_coercivity_of_~_0_kA_m_-_1,"(increase_in_coercivity, ~_0_kA_m_-_1)","(0, 1)",1
<QNT>_of_<Value>,increase_in_coercivity_of_0_%,"(increase_in_coercivity, 0_%)","(0, 1)",1
<QNT>_of_<Value>,increase_in_coercivity_of_0_kA_m_-_1,"(increase_in_coercivity, 0_kA_m_-_1)","(0, 1)",1
<QNT>_of_<Class>,increase_in_coercivity_of_M,"(increase_in_coercivity, M)","(1, 0)",1
<QNT>_of_<Class>,increase_in_coercivity_of_quinternary_alloy,"(increase_in_coercivity, quinternary_alloy)","(1, 0)",1
<QNT>_to_<Value>,increase_in_coercivity_to_0_T,"(increase_in_coercivity, 0_T)","(0, 1)",1
<QNT>_for_<Element>,increment_in_coercivity_for_x_=_0,"(increment_in_coercivity, x_=_0)","(1, 0)",1
<QNT>_of_<Value>,increment_in_coercivity_of_more_than_0_kOe,"(increment_in_coercivity, more_than_0_kOe)","(0, 1)",1
<QNT>_(_<Value>_),intrinsic_coercivity_(_0_kA_m_-_1_),"(intrinsic_coercivity, 0_kA_m_-_1)","(0, 1)",1
<QNT>_(_<QNT>_),intrinsic_coercivity_(_H_),"(intrinsic_coercivity, H)","(0, 1)",5
<QNT>_(_<QNT>_),intrinsic_coercivity_(_hci_),"(intrinsic_coercivity, hci)","(0, 1)",3
